Title,Semester,Description,Skills,URL
Agrarsystemtechnik im Pflanzenbau,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836291
Agrartechnik im Pflanzenbau,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838838
Agrartechnik in der Tierhaltung,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839865
Agriculture Raw Materials and their Utilization,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840151
Agroforestry and Forest Management for Carbon Sequestration,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840678
Ähnlichkeit und Dimensionslose Kennzahlen,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837242
AI Guide Academy,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875490
AI in and for Society,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950842074
AI Testing,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840858
Aircraft Design,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875077
Aircraft Design Advanced,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875832
Aircraft Design Advanced Revision,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875833
Aircraft Performance,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836641
AI4EO Platforms and Best Practices,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841165
Aktuelle Arbeiten der Molekularen Neurowissenschaften,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837532
Aktuelle Entwicklung und Anwendungen von Teilchendetektoren,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876475
Aktuelle Entwicklungen zur Physik biologischer Netzwerke,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839450
Aktuelle Ergebnisse zu Festkörperbatterien,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839152
Aktuelle Ergebnisse der Batterie- und Brennstoffzellenforschung,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838110
Aktuelle Forschungsergebnisse aus Immunologie und Infektionsmedizin,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839164
Aktuelle Forschungsthemen in der Biomedizinischen Bildgebung,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836999
Aktuelle Fragen der Astroteilchenphysik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839326
Aktuelle Fragen der Physik jenseits des Standardmodells,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837944
Aktuelle Fragen der Theorie komplexer Biosysteme,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837757
Aktuelle Literatur der Mikrobiellen Biotechnologie,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839786
Aktuelle Probleme der Halbleiterphysik und fortgeschrittenen Materialien,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837590
Aktuelle Probleme der organischen Photovoltaik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950837679
Aktuelle Themen aus der Forschung mit Positronen,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836046
